############,,,,,,,,
# title: bed and marly interbed thickness of the Voirons Flysch outcrops,,,,,,,,
# author: Jérémy Ragusa and Lina Maria Ospina-Ostios,,,,,,,,
# date: 2016/07/04,,,,,,,,
############,,,,,,,,
Todo: replace values with formation abbrev. in unit column,,,,,,,,
############,,,,,,,,
outcrop,section,thickness,rock,bed,province,index,unit,comment
Saxel inférieure,road,15,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,40,h,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,18,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,18,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,22,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,25,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,15,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,30,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,90,g,,Voirons NW,Saxel-inf,1,
Saxel inférieure,road,70,g,,Voirons NW,Saxel-inf,1,
D20 talus 820,forest,100,h,,Voirons NW,D20-820,1,
D20 talus 820,forest,30,g,,Voirons NW,D20-820,1,
D20 talus 820,forest,54,g,,Voirons NW,D20-820,1,
D20 talus 820,forest,150,m,,Voirons NW,D20-820,1,
D20 talus 820,forest,56,g,,Voirons NW,D20-820,1,
D20 talus 820,forest,84,g,,Voirons NW,D20-820,1,
D20 talus 820,forest,230,h,,Voirons NW,D20-820,1,
D20 talus 820,forest,161,g,,Voirons NW,D20-820,1,
D20 talus 820,forest,17,g,,Voirons NW,D20-820,1,
D20 talus 820,forest,32,g,,Voirons NW,D20-820,1,
D20 talus 820,forest,250,h,,Voirons NW,D20-820,1,
D20 talus 820,forest,80,g,,Voirons NW,D20-820,1,
D20 talus 820,forest,600,h,,Voirons NW,D20-820,1,
D20 talus 820,stream,90,g,,Voirons NW,D20-820,1,
D20 talus 820,stream,9,g,,Voirons NW,D20-820,1,
D20 talus 820,stream,3,m,,Voirons NW,D20-820,1,
D20 talus 820,stream,20,g,,Voirons NW,D20-820,1,
D20 talus 820,stream,4,m,,Voirons NW,D20-820,1,
D20 talus 820,stream,9,g,,Voirons NW,D20-820,1,
D20 talus 820,stream,4,m,,Voirons NW,D20-820,1,
D20 talus 820,stream,4,g,,Voirons NW,D20-820,1,
D20 talus 820,stream,2,m,,Voirons NW,D20-820,1,
D20 talus 820,stream,5,g,,Voirons NW,D20-820,1,
D20 talus 820,stream,4,m,,Voirons NW,D20-820,1,
D20 talus 820,stream,6,g,,Voirons NW,D20-820,1,
D20 talus 820,stream,13,m,,Voirons NW,D20-820,1,
D20 talus 820,stream,33,g,,Voirons NW,D20-820,1,
D20 talus 820,stream,2,m,,Voirons NW,D20-820,1,
D20 talus 820,stream,2,g,,Voirons NW,D20-820,1,
D20 talus 820,stream,3,m,,Voirons NW,D20-820,1,
D20 talus 820,stream,7,g,,Voirons NW,D20-820,1,
D20 talus 820,stream,"3,5",m,,Voirons NW,D20-820,1,
D20 talus 820,stream,3,g,,Voirons NW,D20-820,1,
D20 talus 820,stream,5,m,,Voirons NW,D20-820,1,
D20 talus 820,stream,3,g,,Voirons NW,D20-820,1,
Saxel supérieure,block 1,250,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,8,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,1,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,8,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,1,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,6,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,38,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,17,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,9,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,16,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,9,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,8,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,21,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,7,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,26,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,22,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,78,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,14,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,8,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,3,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,3,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,100,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,140,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,3,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,130,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,7,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,3,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,15,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,58,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,13,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,8,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,4,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,120,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,400,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,50,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,150,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,80,m,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,45,g,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 1,300,h,,Voirons NW,Saxel-sup-1,1,
Saxel supérieure,block 2,200,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,10,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,18,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,10,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,30,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,40,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,150,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,40,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,150,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,5,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,13,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,4,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,80,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,3,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,26,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,18,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,10,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,15,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,50,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,32,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,12,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,14,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,190,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,110,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,100,h,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,400,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,"7,5",m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,7,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,"7,5",m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,13,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,2,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,33,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,46,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,87,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,5,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,250,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,20,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,40,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,34,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,15,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,200,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,3,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,3,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,14,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,210,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,3,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,4,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,20,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,10,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,15,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,120,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,4,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,100,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,10,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,10,g,,Voirons NW,Saxel-sup-2,1,
